task_id,total_correct,total_trials,avg_confidence,difficulty,super_rule,sub_rule,mean_duration,accuracy
0,8,20,0.37499999999999994,1,expansion,star_step,5253.300500001924,0.4
1,16,20,0.43,1,expansion,star_step,5132.970500004592,0.8
10,18,20,0.565,2,attraction,color,4201.25000000348,0.9
11,4,20,0.5349999999999999,3,attraction,size,4035.4355000015057,0.2
12,18,20,0.5599999999999999,1,attraction,gravity,3442.79100000427,0.9
13,11,20,0.475,1,attraction,gravity,4328.590500001737,0.55
14,12,20,0.45499999999999996,2,attraction,color,3795.4820000007603,0.6
15,19,20,0.545,2,attraction,color,3010.5260000048393,0.95
16,19,20,0.58,2,attraction,color,3103.127000005583,0.95
17,15,20,0.48999999999999994,1,attraction,gravity,3510.343000003287,0.75
18,5,20,0.525,3,attraction,size,2771.18900000098,0.25
19,20,20,0.585,2,attraction,color,2339.593000005612,1.0
2,14,20,0.42000000000000004,1,expansion,plus_full,5980.323500005048,0.7
20,20,20,0.6,2,occlusion,reversal,2708.8145000020522,1.0
21,19,20,0.58,2,occlusion,reversal,3343.899500005319,0.95
22,16,20,0.475,2,occlusion,mirror_x,4202.185000001307,0.8
23,6,20,0.475,3,occlusion,reversal,3587.809000002954,0.3
24,12,20,0.585,2,occlusion,reversal,2540.7070000026024,0.6
25,17,20,0.585,2,occlusion,reversal,3294.9490000031756,0.85
26,15,20,0.605,1,occlusion,mirror_y,6181.9140000023945,0.75
27,18,20,0.6199999999999999,2,occlusion,reversal,2799.519000004726,0.9
28,13,20,0.585,3,occlusion,rotate_180,2903.8360000004454,0.65
29,17,20,0.55,2,occlusion,reversal,2466.6725000039105,0.85
3,17,20,0.4699999999999999,1,expansion,plus_full,4321.448500002019,0.85
30,15,20,0.5349999999999999,1,arithmetic,majority,3074.0320000012666,0.75
31,15,20,0.51,2,arithmetic,majority,3965.421000003122,0.75
32,16,20,0.495,1,arithmetic,inversion,4417.894000003028,0.8
33,16,20,0.5149999999999999,1,arithmetic,inversion,4100.113000003701,0.8
34,13,20,0.53,3,arithmetic,minority,2824.104500006375,0.65
35,6,20,0.55,2,arithmetic,minority,3630.6969999999046,0.3
36,17,20,0.565,1,arithmetic,majority,2942.00900000229,0.85
37,14,20,0.49499999999999994,3,arithmetic,majority,6879.80900000727,0.7
38,17,20,0.5149999999999999,1,arithmetic,majority,5060.109500002471,0.85
39,14,20,0.55,1,arithmetic,inversion,3186.4635000015633,0.7
4,16,20,0.46499999999999997,1,expansion,plus_full,5076.304500000491,0.8
5,19,20,0.485,1,expansion,star_step,5326.73600000227,0.95
6,9,20,0.43999999999999995,3,expansion,diagonal_full,5282.10400000086,0.45
7,11,20,0.45499999999999996,1,expansion,plus_step,4277.151500004202,0.55
8,19,20,0.5149999999999999,1,expansion,star_full,3787.2585000064005,0.95
9,8,20,0.43,3,expansion,diagonal_full,4822.859000004518,0.4
